korean,actual translation,Google translation,Microsoft translation,DeepL translation
"좀 충격적일지도 모르겠지만, 우리는 사실상 이 사람의 뇌를 실시간으로 읽고 있는 것입니다.","This may shock you, but we're literally reading this person's brain in real time.","It might be a bit shocking, but we're actually reading this person's brain in real time.","It may be a bit shocking, but we are actually reading this person's brain in real time.","It might be a little shocking, but we're actually reading this person's brain in real time."
환자들은 자신의 뇌 속 활성화된 부분들을 직접 보면서 통증을 유발하는 경로를 제어합니다.,"They're watching their own brain activation, and they're controlling the pathway that produces their pain.",Patients control the pathways that cause pain by directly looking at the activated parts of their brain.,Patients directly see the active parts of their brain and control the pathways that cause pain.,Patients see firsthand the activated parts of their brain that control the pathways that cause pain.
내생적 진정제를 생성하는 체내 시스템을 조절하는 것입니다.,They're learning to flex this system that releases their own endogenous opiates.,It modulates the body's systems that produce endogenous sedation.,It is to regulate the body's internal systems that produce endogenous sedation.,It's about modulating the body's systems that produce endogenous sedatives.
화면 왼쪽 위를 보시면 통증을 제어하면서 뇌가 활성화된 부분을 볼 수 있습니다.,"As they do it, in the upper left is a display that's yoked to their brain activation of their own pain being controlled.","If you look at the top left of the screen, you can see where the brain is active while controlling pain.","If you look at the top left of the screen, you can see where your brain is active while controlling pain.","If you look at the top left of the screen, you can see where the brain is activated while controlling pain."
뇌를 조절하면서 동시에 통증도 조절할 수 있는 것입니다.,"When they control their brain, they can control their pain.",You can control your brain and control your pain at the same time.,It is possible to control the brain and at the same time control the pain.,You're controlling your brain and controlling your pain at the same time.
이 기술은 아직 완성되지 않았지만 여태까지의 임상 실험에서는 만성 환자의 통증을 44%에서 64%까지 줄일 수 있었습니다.,"This is an investigational technology, but, in clinical trials, we're seeing a 44 to 64 percent decrease in chronic pain patients.","Although the technology is not yet complete, clinical trials so far have shown that it can reduce pain in chronic patients by 44% to 64%.","Although this technique is not yet perfect, clinical trials to date have been able to reduce pain in chronic patients by 44% to 64%.","The technology is not yet perfected, but in clinical trials so far, it has been able to reduce pain in chronic patients by 44% to 64%."
이 기술은 영화 매트릭스가 아닙니다. 오직 당신만이 자신의 뇌를 제어할 수 있습니다.,"This is not ""The Matrix."" You can only do this to yourself. You take control.",This technology is not the movie Matrix. Only you can control your brain.,This technique is not a cinematic matrix. Only you can control your own brain.,This is not the movie Matrix - only you can control your own brain.
저는 제 뇌 속을 이미 들여다 봤습니다. 여러분에게도 그럴 날이 곧 올 것입니다.,"I've seen inside my brain. You will too, soon.",I've already looked inside my brain. That day will come soon for you too.,I have already looked into my brain. The day will soon come for you.,"I've been inside my own brain, and it won't be long before you are too."
그 날이 오면 여러분은 무엇을 제어하고 싶으십니까?,"When you do, what do you want to control?","When that day comes, what will you want to control?","When that day comes, what do you want to control?","When that day comes, what do you want to be in control of?"
여러분은 자기 자신의 면모와 자신이 겪은 경험을 모두 볼 수 있을 것입니다.,"You will be able to look at all the aspects that make you yourself, all your experiences.",You will be able to see aspects of yourself and the experiences you have had.,You will be able to see both yourself and your experiences.,You'll see both sides of yourself and the experiences you've had.
시간이 부족해서 더 이상 구체적으로 얘기하지는 못하겠지만,These are some of the areas we're working on today that I don't have time to go into in detail.,I can't go into more detail due to lack of time.,"I don't have enough time, so I won't be able to talk about it in detail anymore.","I'm running out of time, so I won't go into any more specifics, but I'll just say that"
마지막으로 여러분에게 생각할거리를 하나 던져 드리고 싶습니다.,But I want to leave with you the big question.,"Lastly, I would like to give you something to think about.","Finally, I would like to give you one last thing to think about.","Finally, I'd like to leave you with some food for thought."
우리는 이 신기술을 통해 인간의 뇌와 마음 속을 들여다 볼 수 있는 첫 세대가 될 것입니다.,"We are the first generation that's going to be able to enter into, using this technology, the human mind and brain.",We will be the first generation to be able to look inside the human brain and mind through this new technology.,We will be the first generation to look into the human brain and heart through this new technology.,We will be the first generation to be able to look inside the human brain and mind with this new technology.
우리는 앞으로 이 기술을 과연 어떻게 사용해야 할까요?,Where will we take it?,How should we use this technology in the future?,How should we use this technology in the future?,How should we use this technology going forward?
"한 일년쯤 전에, 국방성의 고위직에 계신 분이 저를 방문 했습니다.","I got a visit almost exactly a year ago, a little over a year ago, from a very senior person at the Department of Defense.","About a year ago, a high-ranking official from the Ministry of Defense visited me.","About a year ago, a high-ranking official in the Ministry of National Defense visited me.","About a year ago, I had a visit from a very senior person in the Department of Defense."
"그분은 저에게, ""파병 군인들 중 1,600명은 최소한 한 팔을 잃고 돌아 옵니다.","Came to see me and said, ""1,600 of the kids that we've sent out have come back missing at least one full arm.","He told me, “Of the soldiers deployed, 1,600 of them return with at least one arm missing.","He told me, ""1,600 of the soldiers on the contingent return with at least one arm missing.","He told me, ""1,600 of the soldiers who deploy come back with at least one arm missing."
